ASITISNOW	bad familiarity for ASITISNOW: '-'
ASITOLDYOU	bad familiarity for ASITISNOW: '-'
ASITS	bad familiarity for ASITISNOW: '-'
ASITSAYS	bad familiarity for ASITISNOW: '-'
ASITSCALLEDATMY	bad familiarity for ASITISNOW: '-'
ASITSEEMS	bad familiarity for ASITISNOW: '-'
ASITSHOULDBE	bad familiarity for ASITISNOW: '-'
ASITSTANDS	bad familiarity for ASITISNOW: '-'
ASITTURNEDOUT	bad familiarity for ASITISNOW: '-'
ASITUSEDTOBE	bad familiarity for ASITISNOW: '-'
ASITWAS	bad familiarity for ASITISNOW: '-'
ASITWERE	bad familiarity for ASITISNOW: '-'
ASIUNDERSTANDIT	bad familiarity for ASITISNOW: '-'
ASIVE	bad familiarity for ASITISNOW: '-'
ASIVESAID	bad familiarity for ASITISNOW: '-'
ASIWASSAYING	bad familiarity for ASITISNOW: '-'
ASIXTEENS	bad familiarity for ASITISNOW: '-'
ASK	bad familiarity for ASITISNOW: '-'
ALFREDKINSEY	unexpected word: 'ALFREDOPANTS'
ALFREDLANDON	unexpected word: 'ALFREDOPANTS'
ALFREDLUNT	unexpected word: 'ALFREDOPANTS'
ALFREDMITCHCOCK	unexpected word: 'ALFREDOPANTS'
ALFREDMOLINA	unexpected word: 'ALFREDOPANTS'
ALFREDNEUMAN	unexpected word: 'ALFREDOPANTS'
ALFREDNOBEL	unexpected word: 'ALFREDOPANTS'
ALFREDNOYES	unexpected word: 'ALFREDOPANTS'
ALFREDO	unexpected word: 'ALFREDOPANTS'
ALFREDOALFREDO	unexpected word: 'ALFREDOPANTS'
ALFREDOSAUCE	unexpected word: 'ALFREDOPANTS'
ALFREDPANTS	unexpected word: 'ALFREDOPANTS'
ALFREDSOX	unexpected word: 'ALFREDOPANTS'
ALFREDSTIEGLITZ	unexpected word: 'ALFREDOPANTS'
ALFREDTHEGREAT	unexpected word: 'ALFREDOPANTS'
ALFREDU	unexpected word: 'ALFREDOPANTS'
ALFREDUHRY	unexpected word: 'ALFREDOPANTS'
ALFREDXNYSON	unexpected word: 'ALFREDOPANTS'
ALFRESCO	unexpected word: 'ALFREDOPANTS'
BEEATENAWAY	bad familiarity for BEEATENAWAY: '-'
BEEATTITUDES	bad familiarity for BEEATENAWAY: '-'
BEEB	bad familiarity for BEEATENAWAY: '-'
BEEBALM	bad familiarity for BEEATENAWAY: '-'
BEEBE	bad familiarity for BEEATENAWAY: '-'
BEEBEARD	bad familiarity for BEEATENAWAY: '-'
BEEBEARDS	bad familiarity for BEEATENAWAY: '-'
BEEBEE	bad familiarity for BEEATENAWAY: '-'
BEEBES	bad familiarity for BEEATENAWAY: '-'
BEEBOOSTING	bad familiarity for BEEATENAWAY: '-'
BEECAREFUL	bad familiarity for BEEATENAWAY: '-'
BEECH	bad familiarity for BEEATENAWAY: '-'
BEECHAM	bad familiarity for BEEATENAWAY: '-'
BEECHBUMS	bad familiarity for BEEATENAWAY: '-'
BEECHES	bad familiarity for BEEATENAWAY: '-'
BEECHNUT	bad familiarity for BEEATENAWAY: '-'
BEECHNUTGUM	bad familiarity for BEEATENAWAY: '-'
BEECHOFCONTRACT	bad familiarity for BEEATENAWAY: '-'
BEECHPARTY	bad familiarity for BEEATENAWAY: '-'
BRIEFCHIEF	bad familiarity for BRIEFCHIEF: '-'
BRIEFCRANKLOWER	bad familiarity for BRIEFCHIEF: '-'
BRIEFED	bad familiarity for BRIEFCHIEF: '-'
BRIEFENCOUNTER	bad familiarity for BRIEFCHIEF: '-'
BRIEFENCOUNTERS	bad familiarity for BRIEFCHIEF: '-'
BRIEFER	bad familiarity for BRIEFCHIEF: '-'
BRIEFING	bad familiarity for BRIEFCHIEF: '-'
BRIEFINTERLUDE	bad familiarity for BRIEFCHIEF: '-'
BRIEFINTERLUDES	bad familiarity for BRIEFCHIEF: '-'
BRIEFINTERVAL	bad familiarity for BRIEFCHIEF: '-'
BRIEFLY	bad familiarity for BRIEFCHIEF: '-'
BRIEFMOMENT	bad familiarity for BRIEFCHIEF: '-'
BRIEFMOVIES	bad familiarity for BRIEFCHIEF: '-'
BRIEFNESS	bad familiarity for BRIEFCHIEF: '-'
BRIEFORALL	bad familiarity for BRIEFCHIEF: '-'
BRIEFOUTLINE	bad familiarity for BRIEFCHIEF: '-'
BRIEFRESTPERIOD	bad familiarity for BRIEFCHIEF: '-'
BRIEFS	bad familiarity for BRIEFCHIEF: '-'
BRIEFSTEW	bad familiarity for BRIEFCHIEF: '-'
BUBBLEPIPE	bad familiarity for BUBBLEPIPE: '-'
BUBBLER	bad familiarity for BUBBLEPIPE: '-'
BUBBLES	bad familiarity for BUBBLEPIPE: '-'
BUBBLESUP	bad familiarity for BUBBLEPIPE: '-'
BUBBLETEA	bad familiarity for BUBBLEPIPE: '-'
BUBBLETEAMS	bad familiarity for BUBBLEPIPE: '-'
BUBBLEUP	bad familiarity for BUBBLEPIPE: '-'
BUBBLEWAND	bad familiarity for BUBBLEPIPE: '-'
BUBBLEWRAP	bad familiarity for BUBBLEPIPE: '-'
BUBBLEYUM	bad familiarity for BUBBLEPIPE: '-'
BUBBLIEST	bad familiarity for BUBBLEPIPE: '-'
BUBBLING	bad familiarity for BUBBLEPIPE: '-'
BUBBLINGER	bad familiarity for BUBBLEPIPE: '-'
BUBBLINGOVER	bad familiarity for BUBBLEPIPE: '-'
BUBBLLEEGGUM	bad familiarity for BUBBLEPIPE: '-'
BUBBLUM	bad familiarity for BUBBLEPIPE: '-'
BUBBLY	bad familiarity for BUBBLEPIPE: '-'
BUBBY	bad familiarity for BUBBLEPIPE: '-'
BYYEAR	bad familiarity for BYYEAR: '-'
BYYESTERDAY	bad familiarity for BYYEAR: '-'
BYYOU	bad familiarity for BYYEAR: '-'
BYYOURLEAVE	bad familiarity for BYYEAR: '-'
BYYOURLEAVES	bad familiarity for BYYEAR: '-'
BYYOURSELF	bad familiarity for BYYEAR: '-'
BYZANTINE	bad familiarity for BYYEAR: '-'
BYZANTINECHURCH	bad familiarity for BYYEAR: '-'
BYZANTINEEMPIRE	bad familiarity for BYYEAR: '-'
BYZANTINETEEN	bad familiarity for BYYEAR: '-'
BYZANTIUM	bad familiarity for BYYEAR: '-'
BYZERO	bad familiarity for BYYEAR: '-'
BZCAV	bad familiarity for BYYEAR: '-'
BZE	bad familiarity for BYYEAR: '-'
BZERS	bad familiarity for BYYEAR: '-'
BZZ	bad familiarity for BYYEAR: '-'
BZZT	bad familiarity for BYYEAR: '-'
BZZZZZZZZZZZZZZ	bad familiarity for BYYEAR: '-'
CAA	bad familiarity for BYYEAR: '-'
CHEEZ	bad codes for CHEF: '0'
CHEEZIT	bad codes for CHEF: '0'
CHEEZITS	bad codes for CHEF: '0'
CHEEZQUIZ	bad codes for CHEF: '0'
CHEEZWHIZ	bad codes for CHEF: '0'
CHEF	bad codes for CHEF: '0'
CHEFBOYARDEE	bad codes for CHEF: '0'
CHEFCRAZYHORSE	bad codes for CHEF: '0'
CHEFDOEUVRE	bad codes for CHEF: '0'
CHEFGUEVARA	bad codes for CHEF: '0'
CHEFOFSTATE	bad codes for CHEF: '0'
CHEFOFTHEFUTURE	bad codes for CHEF: '0'
CHEFPIT	bad codes for CHEF: '0'
CHEFS	bad codes for CHEF: '0'
CHEFSALAD	bad codes for CHEF: '0'
CHEFSHAT	bad codes for CHEF: '0'
CHEFSKISS	bad codes for CHEF: '0'
CHEFSKNIFE	bad codes for CHEF: '0'
CHEFSSALAD	bad codes for CHEF: '0'
CHOOCHOOSTRAIN	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOCHOOTOYS	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOCHOOTRAIN	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOCHOOTRAINS	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSE	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEABORROWER	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEANAME	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEAPARTNER	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSECAKE	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEGOOSE	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEGUESTLIST	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEME	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEMETOADOPT	bad familiarity for CHOOCHOOSTRAIN: '-'
